"fileName","cleanTitle","url","date","size","genre","rating"
"Drakengard 2 (USA).zip","Drakengard 2","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Drakengard%202%20%28USA%29.zip","29-Mar-2022 02:58","2.5 GiB","Action",7.5
"Dynasty Warriors 3 (USA).zip","Dynasty Warriors 3","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dynasty%20Warriors%203%20%28USA%29.zip","25-Apr-2022 19:51","1.4 GiB","Action",8.3
"Dynasty Warriors 4 (USA).zip","Dynasty Warriors 4","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dynasty%20Warriors%204%20%28USA%29.zip","29-Mar-2022 06:52","2.1 GiB","Action",8.5
"Dynasty Warriors 5 (USA).zip","Dynasty Warriors 5","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dynasty%20Warriors%205%20%28USA%29.zip","28-Mar-2022 10:37","3.0 GiB","Action",8.4
"Enter the Matrix (USA) (v1.01).zip","Enter the Matrix","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Enter%20the%20Matrix%20%28USA%29%20%28v1.01%29.zip","29-Mar-2022 13:23","3.0 GiB","Action",6.8
"Eternal Poison (USA).zip","Eternal Poison","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Eternal%20Poison%20%28USA%29.zip","28-Mar-2022 14:46","1.8 GiB","Action",7.8
"Extermination (USA).zip","Extermination","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Extermination%20%28USA%29.zip","30-Mar-2022 02:39","669.0 MiB","Action",7.4
"Fahrenheit (Europe) (En,Fr,De,Es).zip","Fahrenheit","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Fahrenheit%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%29.zip","28-Mar-2022 18:11","2.0 GiB","Adventure",8.5
"Fatal Frame (USA).zip","Fatal Frame","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Fatal%20Frame%20%28USA%29.zip","29-Mar-2022 03:51","1.8 GiB","Adventure",8.5
"Fatal Frame II - Crimson Butterfly (USA).zip","Fatal Frame II - Crimson Butterfly","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Fatal%20Frame%20II%20-%20Crimson%20Butterfly%20%28USA%29.zip","29-Mar-2022 00:02","2.0 GiB","Adventure",8.8
"Fatal Frame III - The Tormented (USA).zip","Fatal Frame III - The Tormented","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Fatal%20Frame%20III%20-%20The%20Tormented%20%28USA%29.zip","28-Mar-2022 14:16","2.1 GiB","Adventure",8.6
"Final Fantasy X (Europe, Australia).zip","Final Fantasy X","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Final%20Fantasy%20X%20%28Europe%2C%20Australia%29.zip","29-Mar-2022 03:30","3.9 GiB","RPG",9.0
"Final Fantasy X-2 (Europe, Australia).zip","Final Fantasy X-2","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Final%20Fantasy%20X-2%20%28Europe%2C%20Australia%29.zip","29-Mar-2022 02:36","3.3 GiB","RPG",8.0
"Final Fantasy XII (USA).zip","Final Fantasy XII","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Final%20Fantasy%20XII%20%28USA%29.zip","28-Mar-2022 15:44","3.4 GiB","RPG",9.0
"Forbidden Siren (Europe).zip","Forbidden Siren","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Forbidden%20Siren%20%28Europe%29.zip","28-Mar-2022 10:36","3.0 GiB","Adventure",7.8
"Freedom Fighters (USA).zip","Freedom Fighters","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Freedom%20Fighters%20%28USA%29.zip","29-Mar-2022 00:44","1.8 GiB","Action",8.5
"Frequency (USA).zip","Frequency","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Frequency%20%28USA%29.zip","28-Mar-2022 18:15","346.8 MiB","Music/Rhythm",8.4
"Front Mission 4 (USA).zip","Front Mission 4","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Front%20Mission%204%20%28USA%29.zip","28-Mar-2022 14:01","1.1 GiB","Strategy",8.4
"Front Mission 5 - Scars of the War (Japan) (Ultimate Hits).zip","Front Mission 5 - Scars of the War","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Front%20Mission%205%20-%20Scars%20of%20the%20War%20%28Japan%29%20%28Ultimate%20Hits%29.zip","29-Mar-2022 13:29","2.6 GiB","Racing",8.3
"Full Spectrum Warrior (USA).zip","Full Spectrum Warrior","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Full%20Spectrum%20Warrior%20%28USA%29.zip","30-Mar-2022 09:02","1.1 GiB","Shooter",8.2
"Full Spectrum Warrior - Ten Hammers (USA).zip","Full Spectrum Warrior - Ten Hammers","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Full%20Spectrum%20Warrior%20-%20Ten%20Hammers%20%28USA%29.zip","30-Mar-2022 09:18","1.9 GiB","Shooter",7.8
"Fullmetal Alchemist 2 - Curse of the Crimson Elixir (USA).zip","Fullmetal Alchemist 2 - Curse of the Crimson Elixir","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Fullmetal%20Alchemist%202%20-%20Curse%20of%20the%20Crimson%20Elixir%20%28USA%29.zip","29-Mar-2022 05:04","2.0 GiB","Action",7.6
"Fullmetal Alchemist and the Broken Angel (USA, Canada).zip","Fullmetal Alchemist and the Broken Angel","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Fullmetal%20Alchemist%20and%20the%20Broken%20Angel%20%28USA%2C%20Canada%29.zip","18-Feb-2025 03:52","1.7 GiB","Action",7.4
"G.I. Joe - The Rise of Cobra (USA).zip","G.I. Joe - The Rise of Cobra","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/G.I.%20Joe%20-%20The%20Rise%20of%20Cobra%20%28USA%29.zip","28-Mar-2022 19:14","1.2 GiB","Action",6.9
"Gauntlet - Dark Legacy (USA).zip","Gauntlet - Dark Legacy","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Gauntlet%20-%20Dark%20Legacy%20%28USA%29.zip","29-Mar-2022 16:15","595.4 MiB","Action",8.2
"Genji - Dawn of the Samurai (USA).zip","Genji - Dawn of the Samurai","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Genji%20-%20Dawn%20of%20the%20Samurai%20%28USA%29.zip","28-Mar-2022 19:38","2.2 GiB","Action",7.8
"God Hand (USA).zip","God Hand","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/God%20Hand%20%28USA%29.zip","28-Mar-2022 12:25","1.2 GiB","Action",8.4
